City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,vadso,70.0744,29.7487,14.49,94,100,3.6,NO,1691971879
84,mar del plata,-38.0023,-57.5575,11.64,55,75,2.68,AR,1691971724
85,whitehorse,60.7161,-135.0538,17.79,40,58,7.15,CA,1691971879
86,newman,37.3138,-121.0208,32.99,19,52,3.74,US,1691971879
87,enewetak,11.3474,162.3373,28.86,73,100,5.69,MH,1691971879
88,vorgashor,67.5833,63.95,15.16,97,98,2.46,RU,1691971879
89,sinabang,2.4803,96.3801,23.92,94,100,3.73,ID,1691971880
90,tazovsky,67.4667,78.7,8.18,74,1,2.18,RU,1691971880
91,invercargill,-46.4,168.35,6.68,83,86,3.58,NZ,1691971845
92,kodiak,57.79,-152.4072,16.73,77,100,4.63,US,1691971880
93,blackmans bay,-43.0167,147.3167,8.74,78,98,0.5,AU,1691971880
94,papatowai,-46.5619,169.4708,7.66,77,35,2.0,NZ,1691971880
95,guiuan,11.0333,125.7247,28.09,74,97,3.02,PH,1691971881
96,pandan,14.0453,124.1694,28.0,78,97,2.11,PH,1691971881
97,tazacorte,28.629,-17.9293,23.54,88,20,6.17,ES,1691971881
98,uturoa,-16.7333,-151.4333,25.41,71,99,5.46,PF,1691971881
99,kingston,17.997,-76.7936,29.53,82,20,4.63,JM,1691971365
100,newquay,50.4132,-5.0819,17.42,94,75,7.72,GB,1691971882
101,nar'yan-mar,67.6713,53.087,13.18,87,85,2.07,RU,1691971882
102,khandyga,62.6667,135.6,23.18,50,100,1.69,RU,1691971882
103,oranjemund,-28.55,16.4333,11.07,93,1,3.27,NA,1691971882
104,arraial do cabo,-22.9661,-42.0278,19.95,93,100,1.7,BR,1691971883
105,taltal,-25.4,-70.4833,15.73,82,24,1.96,CL,1691971883
106,fort st. john,56.2499,-120.8529,26.92,37,16,5.73,CA,1691971883
107,wailua homesteads,22.0669,-159.378,29.44,69,20,6.69,US,1691971883
108,afaahiti,-17.75,-149.2833,26.93,74,90,3.86,PF,1691971883
109,metlili chaamba,32.2667,3.6333,30.12,27,1,3.45,DZ,1691971883
110,hithadhoo,-0.6,73.0833,27.56,74,52,4.44,MV,1691971884
111,zhezqazghan,47.7833,67.7667,14.11,39,65,3.2,KZ,1691971884
112,atar,20.5169,-13.0499,35.09,28,33,3.49,MR,1691971884
113,paramonga,-10.6667,-77.8333,19.85,82,54,3.65,PE,1691971884
114,orange walk,17.8333,-88.8333,29.49,65,100,2.86,BZ,1691971884
115,ambon,-3.6954,128.1814,29.02,100,100,6.13,ID,1691971430
116,vilyuchinsk,52.9306,158.4028,19.03,62,7,1.07,RU,1691971885
117,kyshtovka,56.555,76.6271,9.21,94,100,3.71,RU,1691971885
118,trostyanets',50.4784,34.963,16.23,69,3,1.51,UA,1691971885
119,punta arenas,-53.15,-70.9167,0.62,92,100,4.51,CL,1691971678
120,acajutla,13.5928,-89.8275,28.46,81,94,0.97,SV,1691971885
121,wakkanai,45.4094,141.6739,17.99,88,75,6.17,JP,1691971885
122,muli,2.9167,73.5667,28.09,70,62,4.25,MV,1691971886
123,campbell river,50.0163,-125.2446,29.77,35,16,4.58,CA,1691971668
124,janeng,-25.4167,25.55,14.8,36,12,4.85,BW,1691971886
125,murehwa,-17.6432,31.784,11.18,64,22,1.77,ZW,1691971886
126,monaragala,6.8714,81.3487,24.08,79,46,1.43,LK,1691971886
127,sao gabriel da cachoeira,-0.1303,-67.0892,23.32,96,78,1.39,BR,1691971886
128,nagqu,31.5,92.0,5.47,89,100,1.02,CN,1691971887
129,iqaluit,63.7506,-68.5145,4.57,88,71,2.67,CA,1691971887
130,selkirk,50.1436,-96.8845,22.31,78,92,1.99,CA,1691971887
131,la'ie,21.6477,-157.9253,31.98,60,0,6.14,US,1691971887
132,salalah,17.0151,54.0924,26.05,94,100,2.57,OM,1691971589
133,carutapera,-1.195,-46.02,24.0,91,57,2.14,BR,1691971623
134,port alfred,-33.5906,26.891,14.36,80,92,4.54,ZA,1691971888
135,haiku-pauwela,20.9219,-156.3051,29.01,61,40,11.83,US,1691971888
136,santiago de la pena,20.95,-97.4,34.9,63,6,5.75,MX,1691971888
137,likhoslavl',57.1275,35.464,14.67,99,50,1.85,RU,1691971888
138,murun-kuren,49.6342,100.1625,14.94,90,100,0.66,MN,1691971888
139,cooma,-36.2333,149.1333,4.52,98,100,1.02,AU,1691971888
140,diawara,15.022,-12.5437,27.92,77,83,4.96,SN,1691971888
141,lahad datu,5.0268,118.327,25.29,94,98,0.57,MY,1691971889
142,ciudad lazaro cardenas,17.9583,-102.2,29.99,77,6,2.48,MX,1691971889
143,atafu village,-8.5421,-172.5159,28.49,71,47,7.75,TK,1691971889
144,saipan,15.1355,145.701,27.39,100,75,6.69,MP,1691971889
145,fomboni,-12.28,43.7425,24.9,76,3,2.53,KM,1691971889
146,hotan,37.0997,79.9269,25.95,18,89,1.17,CN,1691971889
147,sisimiut,66.9395,-53.6735,7.34,81,97,0.9,GL,1691971890
148,kerikeri,-35.2268,173.9474,13.34,89,100,5.65,NZ,1691971890
149,codrington,-38.2667,141.9667,9.17,64,80,1.18,AU,1691971890
150,kargasok,59.0556,80.8572,9.79,98,100,3.52,RU,1691971890
151,ladario,-19.0047,-57.6017,21.25,57,100,2.06,BR,1691971890
152,beira,-19.8436,34.8389,17.14,90,0,1.92,MZ,1691971890
153,ceeldheer,3.8488,47.1806,23.76,92,85,6.94,SO,1691971890
154,aykhal,66.0,111.5,13.54,75,100,6.46,RU,1691971891
155,san patricio,28.017,-97.5169,34.54,44,3,7.97,US,1691971891
156,keflavik,64.0049,-22.5624,11.24,87,0,1.03,IS,1691971891
157,xilin hot,43.9667,116.0333,24.32,38,40,3.89,CN,1691971891
158,bardai,11.65,7.2333,20.18,90,87,2.81,NG,1691971891
159,yigo village,13.5361,144.8886,26.62,88,0,7.72,GU,1691971891
160,constantia,44.1833,28.65,18.38,73,0,3.89,RO,1691971891
161,itamarandiba,-17.8572,-42.8589,17.36,65,76,2.0,BR,1691971892
162,nizhneudinsk,54.9076,99.0276,16.03,95,100,1.79,RU,1691971892
163,levuka,50.1834,-105.4011,24.59,33,45,5.38,CA,1691971892
164,leticia,-4.2153,-69.9406,24.03,100,40,2.57,CO,1691971892
165,cristalina,-16.7686,-47.6136,19.92,44,81,2.3,BR,1691971645
166,al ghayzah,16.2079,52.176,25.98,92,40,3.67,YE,1691971892
167,happy valley-goose bay,53.3168,-60.3315,11.31,91,100,1.98,CA,1691971892
168,cody,44.5263,-109.0565,22.8,34,0,7.72,US,1691971893
169,priargunsk,50.3691,119.1012,20.81,64,36,0.7,RU,1691971893
170,ataq,14.5377,46.8319,25.14,44,16,2.71,YE,1691971894
171,kapa'a,22.0752,-159.319,30.18,70,20,6.69,US,1691971895
